file,sha256,bytes,role
ads_attack_engine_v2_1.py,e3c506a34cb27c10556bf62b2fefbf2b324b3ba5fc66f3d953f48ecc3bf2bf77,38835,corrected projected-CE attack engine and attack surfaces
ads_canonical_operator_v2_1.py,14d3c110c7a6219ae8b486c1e8a56360815d0b3d7069ce703ebbc726e25b4fd6,9632,canonical ADS operator
ads_primary_full_grid_v2_1.py,d0cc6e0ef1e914b5efea249dd22097d57b5da17a09906226e90a51a082f12c00,23885,canonical primary full-grid runner
canonical_adaptive_engine_v2_7.py,304e0159230520a181d31abcc1f3a9083f410657297ef85b10a0a60e4c7449bc,12923,canonical adaptive objective engine (pilot implementation lineage)
derive_damage_matched_v2_1.py,2d58a57523a3aa51c02de9abc4af9af161addb587dded26bd1afa85ef1ec28b7,8259,damage-matched derivation
full_scale_experiment_v1_6.py,4aa884cffc0afbb64b9b08c776d2e94173264340b5a92a84c927869c3db7e8ee,69866,model implementation used by canonical runs
run_adaptive_pilot_v2_7_1.py,e881f02e9a2ea0289e6221cdeb22d3c5e18886641e9410213d8c999d09aac821,24081,adaptive implementation-pilot runner
stage_b_saved_delta_reeval_v2_8_2.py,d83219e566ab4829de57ac875d561b8e4f6b47aa19b61531a77ed5b4f00e1add,36332,post-audit saved-delta/nonreference/holdout reevaluation
